ref,text,c_node,2021_node,c_funct,2021_funct,my_funct
Exodus 12:18,בָּרִאשֹׁ֡ן ,673337,[673370],Adju,['Adju'],Time
Exodus 12:18,בָּעֶ֔רֶב ,673340,[673373],Adju,['Adju'],Time
Exodus 12:18,בָּעָֽרֶב׃ ,673345,[673378],Adju,['Adju'],Time
Deuteronomy 31:10,בְּחַ֥ג הַסֻּכֹּֽות׃ ,714474,[714507],Adju,['Adju'],Time
1_Samuel 25:15,כָּל־יְמֵי֙ ,741477,[741508],Loca,['Time'],Time
1_Samuel 1:23,אַ֛ךְ ,731915,[731946],Time,['Time'],Modi
Genesis 9:29,תְּשַׁ֤ע מֵאֹות֙ שָׁנָ֔ה וַחֲמִשִּׁ֖ים שָׁנָ֑ה ,654028,[654059],Time,['Time'],PreC
Joshua 4:18,כִתְמֹול־שִׁלְשֹׁ֖ום ,716784,[716817],Time,['Time'],Adju
2_Kings 13:5,כִּתְמֹ֥ול שִׁלְשֹֽׁום׃ ,769411,[769441],Time,['Time'],Adju
1_Samuel 19:7,כְּאֶתְמֹ֥ול שִׁלְשֹֽׁום׃ ס ,738919,[738950],Time,['Time'],Adju
1_Samuel 21:6,כִּתְמֹ֣ול שִׁלְשֹׁ֔ם ,739942,[739973],Time,['Time'],Adju
Exodus 30:10,אַחַ֖ת בַּשָּׁנָ֑ה ,679379,[679412],Time,['Time'],Adju
Exodus 30:10,אַחַ֤ת בַּשָּׁנָה֙ ,679381,[679414],Time,['Time'],Adju
Leviticus 16:34,אַחַ֖ת בַּשָּׁנָ֑ה ,688339,[688372],Time,['Time'],Adju
Leviticus 23:16,עַ֣ד מִֽמָּחֳרַ֤ת הַשַּׁבָּת֙ הַשְּׁבִיעִ֔ת ,690307,[690340],Time,['Time'],Adju
Leviticus 23:34,בַּחֲמִשָּׁ֨ה עָשָׂ֜ר יֹ֗ום לַחֹ֤דֶשׁ הַשְּׁבִיעִי֙ הַזֶּ֔ה ,690470,[690503],PreC,['PreC'],Time
Leviticus 26:18,עַד־אֵ֔לֶּה ,691616,[691647],Time,['Time'],Adju
Numbers 9:21,מֵעֶ֣רֶב עַד־בֹּ֔קֶר ,695140,[695171],PreC,['PreC'],Time
Numbers 2:31,לָאַחֲרֹנָ֥ה ,692763,[692794],Time,['Time'],Adju
Joshua 8:14,לַמֹּועֵ֖ד ,718078,[718111],Time,['Time'],Adju
1_Samuel 18:10,כְּיֹ֣ום׀ בְּיֹ֑ום ,738506,[738537],Time,['Time'],Adju
Numbers 28:14,בְּחָדְשֹׁ֔ו לְחָדְשֵׁ֖י הַשָּׁנָֽה׃ ,701681,[701713],Time,['Time'],PreC
1_Kings 10:22,אַחַת֩ לְשָׁלֹ֨שׁ שָׁנִ֜ים ,757950,[757981],Time,['Time'],Adju
